id,objet,variable,valeur,operateur,date,annotations,fichier,methode,groupe_variables,heure,commentaire,code,type,parent,surface,cepage,clone_cepage,portegreffe,clone_portegreffe,date_debut,date_fin,densite_plantation,orientation,entre_rangs,entre_ceps,mode_conduite,systeme_taille,nb_rangs,nb_souches,piquets,geometry,description,surgreffage,rang,position_rang,groupeAccess,nom,region,type_sol,cadastre,profondeur_sol,adresse,label,systeme_irrigation,date_install_si
83687,57-VDQA-G09-B,ProductionAnnuelle,243.3,\N,2016-12-31,\N,\N,Pesee,ProdRdtRaisinAnnuel,\N,NA,57-VDQA-G09-B,sous-parcelle-culturale,57-MERLOT,\N,\N,\N,SO4 = Sélection Oppenheim 4,\N,2014-06-05 00:00:00,\N,\N,\N,2.5,1,\N,\N,\N,146,\N,\N,\N,\N,\N,\N,VDQA,\N,Littorale,\N,\N,\N,\N,\N,\N,\N
83688,57-VDQA-G09-B,ProductionAnnuelle,252,\N,2017-12-31,\N,\N,Pesee,ProdRdtRaisinAnnuel,\N,NA,57-VDQA-G09-B,sous-parcelle-culturale,57-MERLOT,\N,\N,\N,SO4 = Sélection Oppenheim 4,\N,2014-06-05 00:00:00,\N,\N,\N,2.5,1,\N,\N,\N,146,\N,\N,\N,\N,\N,\N,VDQA,\N,Littorale,\N,\N,\N,\N,\N,\N,\N
83689,57-VDQA-G09-B,RendementAnnuel,6364,\N,2017-12-31,\N,\N,Calcul,ProdRdtRaisinAnnuel,\N,NA,57-VDQA-G09-B,sous-parcelle-culturale,57-MERLOT,\N,\N,\N,SO4 = Sélection Oppenheim 4,\N,2014-06-05 00:00:00,\N,\N,\N,2.5,1,\N,\N,\N,146,\N,\N,\N,\N,\N,\N,VDQA,\N,Littorale,\N,\N,\N,\N,\N,\N,\N
83798,106-3160N-ESP-HAUT-P04,VE_PotentielBaseMoyen,-0.62,yasemen.yildiz,2016-07-07,"<rawData>
				<file></file>
				<datas><data><label></label><value>-0.32</value></data><data><label></label><value>-0.72</value></data><data><label></label><value>-0.66</value></data><data><label></label><value>-0.76</value></data></datas>
			    </rawData>",\N,ChambreAPression,PotentielBaseMoy_VE,02:40,NA,106-3160N-ESP-HAUT-P04,zone,106-3160N-ESP-HAUT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,placette observation VitiDur,\N,\N,\N,public,\N,\N,\N,\N,\N,\N,\N,\N,\N
83799,106-3160N-ESP-HAUT-P11,VE_PotentielBaseMoyen,-0.45,miguel.delucchi,2016-07-07,"<rawData>
				<file></file>
				<datas><data><label></label><value>-0.39</value></data><data><label></label><value>-0.52</value></data><data><label></label><value>-0.52</value></data><data><label></label><value>-0.35</value></data></datas>
			    </rawData>",\N,ChambreAPression,PotentielBaseMoy_VE,02:40,NA,106-3160N-ESP-HAUT-P11,zone,106-3160N-ESP-HAUT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,placette observation VitiDur,\N,\N,\N,public,\N,\N,\N,\N,\N,\N,\N,\N,\N
83800,106-3159B-ESP-HAUT-P04,VE_PotentielBaseMoyen,-0.72,yasemen.yildiz,2016-07-07,"<rawData>
				<file></file>
				<datas><data><label></label><value>-0.65</value></data><data><label></label><value>-0.72</value></data><data><label></label><value>-0.79</value></data></datas>
			    </rawData>",\N,ChambreAPression,PotentielBaseMoy_VE,03:00,NA,106-3159B-ESP-HAUT-P04,zone,106-3159B-ESP-HAUT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,placette observation VitiDur,\N,\N,\N,public,\N,\N,\N,\N,\N,\N,\N,\N,\N
83801,106-3159B-ESP-HAUT-P11,VE_PotentielBaseMoyen,-0.61,miguel.delucchi,2016-07-07,"<rawData>
				<file></file>
				<datas><data><label></label><value>-0.6</value></data><data><label></label><value>-0.56</value></data><data><label></label><value>-0.68</value></data></datas>
			    </rawData>",\N,ChambreAPression,PotentielBaseMoy_VE,03:00,NA,106-3159B-ESP-HAUT-P11,zone,106-3159B-ESP-HAUT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,placette observation VitiDur,\N,\N,\N,public,\N,\N,\N,\N,\N,\N,\N,\N,\N
83802,106-3176N-ESP-HAUT-P04,VE_PotentielBaseMoyen,-0.62,yasemen.yildiz,2016-07-07,"<rawData>
				<file></file>
				<datas><data><label></label><value>-0.54</value></data><data><label></label><value>-0.69</value></data><data><label></label><value>-0.65</value></data><data><label></label><value>-0.6</value></data></datas>
			    </rawData>",\N,ChambreAPression,PotentielBaseMoy_VE,03:00,NA,106-3176N-ESP-HAUT-P04,zone,106-3176N-ESP-HAUT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,placette observation VitiDur,\N,\N,\N,public,\N,\N,\N,\N,\N,\N,\N,\N,\N
83803,106-3176N-ESP-HAUT-P11,VE_PotentielBaseMoyen,-0.48,miguel.delucchi,2016-07-07,"<rawData>
				<file></file>
				<datas><data><label></label><value>-0.54</value></data><data><label></label><value>-0.31</value></data><data><label></label><value>-0.35</value></data><data><label></label><value>-0.66</value></data><data><label></label><value>-0.52</value></data></datas>
			    </rawData>",\N,ChambreAPression,PotentielBaseMoy_VE,03:00,NA,106-3176N-ESP-HAUT-P11,zone,106-3176N-ESP-HAUT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,placette observation VitiDur,\N,\N,\N,public,\N,\N,\N,\N,\N,\N,\N,\N,\N
83806,106-3160N-ESP-HAUT-P04,VE_PotentielBaseMoyen,-0.66,noelie.cerdan,2016-07-27,"<rawData>
				<file></file>
				<datas><data><label></label><value>-0.7</value></data><data><label></label><value>-0.66</value></data><data><label></label><value>-0.62</value></data></datas>
			    </rawData>",\N,ChambreAPression,PotentielBaseMoy_VE,03:40,NA,106-3160N-ESP-HAUT-P04,zone,106-3160N-ESP-HAUT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,placette observation VitiDur,\N,\N,\N,public,\N,\N,\N,\N,\N,\N,\N,\N,\N
83869,106-3159B-ESP-HAUT-P11-C6,NbGrappes,13,\N,2017-08-28,\N,\N,comptage,ComposantesVendanges,\N,NA,106-3159B-ESP-HAUT-P11-C6,cep,106-3159B-ESP-HAUT-P11,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,public,\N,\N,\N,\N,\N,\N,\N,\N,\N
83807,106-3160N-ESP-HAUT-P11,VE_PotentielBaseMoyen,-0.57,miguel.delucchi,2016-07-27,"<rawData>
				<file></file>
				<datas><data><label></label><value>-0.66</value></data><data><label></label><value>-0.53</value></data><data><label></label><value>-0.55</value></data><data><label></label><value>-0.55</value></data></datas>
			    </rawData>",\N,ChambreAPression,PotentielBaseMoy_VE,03:40,NA,106-3160N-ESP-HAUT-P11,zone,106-3160N-ESP-HAUT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,placette observation VitiDur,\N,\N,\N,public,\N,\N,\N,\N,\N,\N,\N,\N,\N
83808,106-3159B-ESP-HAUT-P04,VE_PotentielBaseMoyen,-0.66,noelie.cerdan,2016-07-27,"<rawData>
				<file></file>
				<datas><data><label></label><value>-0.6</value></data><data><label></label><value>-0.66</value></data><data><label></label><value>-0.72</value></data></datas>
